1	40	100	50	60	250	00:03:20	2	1	7
2	65	165	85	100	415	00:07:40	1	1	13
3	110	280	140	165	695	00:14:50	1	2	21
4	185	465	235	280	1165	00:26:10	1	2	31
5	310	780	390	465	1945	00:44:30	1	2	46
6	520	1300	650	780	3250	01:13:40	2	3	70
7	870	2170	1085	1300	5425	02:00:20	2	4	98
8	1450	3625	1810	2175	9060	03:15:00	2	4	140
9	2420	6050	3025	3630	15125	05:14:20	2	5	203
10	4040	10105	5050	6060	25255	08:25:30	2	6	280
11	6750	16870	8435	10125	42180	13:31:20	2	7	392
12	11270	28175	14090	16905	70440	21:40:40	2	9	525
13	18820	47055	23525	28230	117630	34:43:30	2	11	693
14	31430	78580	39290	47150	196450	55:36:00	2	13	889
15	52490	131230	65615	78740	328075	89:00:10	2	15	1120
16	87660	219155	109575	131490	547880	142:26:40	3	18	1400
17	146395	365985	182995	219590	914965	227:57:10	3	22	1820
18	244480	611195	305600	366715	1527990	364:46:00	3	27	2240
19	408280	1020695	510350	612420	2551745	583:40:00	3	32	2800
20	681825	1704565	852280	1022740	4261410	933:54:30	3	38	3430
									
