1	580	460	350	180	1570	00:33:20	1	2	2
2	740	590	450	230	2010	00:43:40	1	3	8
3	950	755	575	295	2575	00:55:40	1	3	18
4	1215	965	735	375	3290	01:09:30	1	4	32
5	1555	1235	940	485	4215	01:25:40	1	5	50
6	1995	1580	1205	620	5400	01:44:20	1	6	72
7	2550	2025	1540	790	6905	02:06:10	1	7	98
8	3265	2590	1970	1015	8840	02:31:20	1	9	128
9	4180	3315	2520	1295	11310	03:00:30	1	10	162
10	5350	4245	3230	1660	14485	03:34:20	1	12	200
11	6845	5430	4130	2125	18530	04:13:40	2	15	242
12	8765	6950	5290	2720	23725	04:59:10	2	18	288
13	11220	8900	6770	3480	30370	05:52:10	2	21	338
14	14360	11390	8665	4455	38870	06:53:30	2	26	392
15	18380	14580	11090	5705	49755	08:04:40	2	31	450
16	23530	18660	14200	7300	63690	09:27:10	2	37	512
17	30115	23885	18175	9345	81520	11:02:50	2	44	578
18	38550	30570	23260	11965	104345	12:54:00	2	53	648
19	49340	39130	29775	15315	133560	15:02:50	2	64	722
20	63155	50090	38110	19600	170955	17:32:10	2	77	800
