1	80	40	80	50	250	00:02:50	2	1	7
2	135	65	135	85	420	00:06:50	1	1	13
3	225	110	225	140	700	00:13:30	1	2	21
4	375	185	375	235	1170	00:24:10	1	2	31
5	620	310	620	390	1940	00:41:10	1	2	46
6	1040	520	1040	650	3250	01:08:20	2	3	70
7	1735	870	1735	1085	5425	01:51:50	2	4	98
8	2900	1450	2900	1810	9060	03:01:30	2	4	140
9	4840	2420	4840	3025	15125	04:52:50	2	5	203
10	8080	4040	8080	5050	25250	07:51:10	2	6	280
11	13500	6750	13500	8435	42185	12:36:20	2	7	392
12	22540	11270	22540	14090	70440	20:12:40	2	9	525
13	37645	18820	37645	23525	117635	32:22:40	2	11	693
14	62865	31430	62865	39290	196450	51:50:50	2	13	889
15	104985	52490	104985	65615	328075	82:59:50	2	15	1120
16	175320	87660	175320	109575	547875	132:50:10	3	18	1400
17	292790	146395	292790	182995	914970	212:34:50	3	22	1820
18	488955	244480	488955	305600	1527990	340:10:10	3	27	2240
19	816555	408280	816555	510350	2551740	544:18:50	3	32	2800
20	1363650	681825	1363650	852280	4261405	870:56:40	3	38	3430
21	2277295	1138650	2277295	1423310	7116550	1393:33:10	3	46	4270
